Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:09:13.979,00:09:13.979,1,--,--,0:09:14  ,0:09:14  ,0:07:24  ,162.75,167.0,107.0988344937388,131.0,146.0,--,95
2,00:09:25.274,00:09:25.000,1,--,--,0:09:25  ,0:09:25  ,0:07:29  ,160.390625,164.0,106.50281011930944,144.0,149.0,--,109
3,00:06:24.595,00:06:24.595,0.68,--,--,0:09:24  ,0:09:24  ,0:07:41  ,159.21875,161.0,107.46743979043868,148.0,152.0,--,76
Summary,00:25:03.848,00:25:03.574,2.68,--,--,0:09:20  ,0:09:20  ,0:07:24  ,160.953125,167.0,106.96906518135836,140.0,152.0,--,280
