Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:12:52.799,00:12:37.000,1,--,--,0:12:53  ,0:12:37  ,0:09:02  ,146.546875,164.0,85.26208080375046,126.0,153.0,--,127
2,00:14:08.489,00:13:53.000,1,--,--,0:14:08  ,0:13:53  ,0:08:44  ,137.59375,161.0,82.70925641609197,139.0,157.0,--,154
3,00:03:03.566,00:03:03.000,0.2,--,--,0:15:40  ,0:15:37  ,0:11:01  ,126.375,160.0,81.30130086863724,135.0,150.0,--,29
Summary,00:30:04.854,00:29:33.000,2.2,--,--,0:13:42  ,0:13:27  ,0:08:44  ,140.296875,164.0,83.65912127190697,133.0,157.0,--,310
