Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:09:18.149,00:09:18.000,1,--,--,0:09:18  ,0:09:18  ,0:08:21  ,167.078125,174.0,103.5450431356423,170.0,183.0,--,131
2,00:00:45.386,00:00:45.386,0.08,--,--,0:09:00  ,0:09:00  ,0:08:44  ,165.78125,167.0,107.82881984438002,172.0,175.0,--,11
Summary,00:10:03.535,00:10:03.386,1.08,--,--,0:09:16  ,0:09:16  ,0:08:21  ,166.984375,174.0,103.86718435402487,170.0,183.0,--,142
