Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:11:11.165,00:11:11.000,1,--,--,0:11:11  ,0:11:11  ,0:09:38  ,158.21875,164.0,90.9309673605477,132.0,146.0,--,122
2,00:11:11.973,00:11:11.973,1,--,--,0:11:12  ,0:11:12  ,0:10:27  ,159.109375,161.0,90.3132433946914,145.0,153.0,--,138
3,00:00:50.676,00:00:50.676,0.08,--,--,0:10:59  ,0:10:59  ,0:10:43  ,159.234375,161.0,91.9478040386978,148.0,149.0,--,10
Summary,00:23:13.814,00:23:13.649,2.08,--,--,0:11:11  ,0:11:11  ,0:09:38  ,158.6875,164.0,90.6701257945781,139.0,153.0,--,270
