Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:11:28.758,00:11:28.758,1,--,--,0:11:28  ,0:11:28  ,0:09:42  ,160.421875,166.0,87.39142186186457,138.0,149.0,--,128
2,00:11:34.220,00:11:34.000,1,--,--,0:11:34  ,0:11:34  ,0:09:11  ,158.0,163.0,88.03286925803782,152.0,167.0,--,145
3,00:02:04.809,00:02:04.809,0.18,--,--,0:11:51  ,0:11:51  ,0:10:41  ,158.515625,161.0,85.62904047392969,150.0,154.0,--,25
Summary,00:25:07.787,00:25:07.567,2.3,--,--,0:10:55  ,0:10:55  ,0:09:11  ,160.0625,166.0,87.54087569226961,145.0,167.0,--,298
