Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:10:06.818,00:10:02.000,1,--,--,0:10:06  ,0:10:02  ,0:07:24  ,158.140625,180.0,100.62297331893846,136.0,171.0,--,115
2,00:09:51.592,00:09:51.592,1,--,--,0:09:51  ,0:09:51  ,0:07:36  ,152.5625,176.0,106.98649810945105,164.0,184.0,--,142
3,00:06:49.033,00:06:49.000,0.72,--,--,0:09:30  ,0:09:30  ,0:07:40  ,151.5625,174.0,111.65714983527917,171.0,186.0,--,100
Summary,00:26:47.443,00:26:42.592,2.72,--,--,0:09:51  ,0:09:50  ,0:07:24  ,154.421875,180.0,105.77273765273259,155.0,186.0,--,357
