Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:09:50.604,00:09:43.000,1,--,--,0:09:50  ,0:09:43  ,0:07:01  ,152.65625,169.0,107.0996546254922,136.0,159.0,--,106
2,00:09:08.119,00:09:08.000,1,--,--,0:09:08  ,0:09:08  ,0:07:10  ,161.984375,166.0,108.75545531658928,158.0,167.0,--,121
3,00:01:34.047,00:01:34.000,0.16,--,--,0:09:54  ,0:09:53  ,0:07:38  ,151.765625,163.0,107.1526035114255,164.0,168.0,--,21
Summary,00:20:32.770,00:20:25.000,1.75,--,--,0:11:44  ,0:11:40  ,0:07:01  ,156.734375,169.0,107.83990261902593,148.0,168.0,--,248
